#
0.000000e+00, 0.000010e+00
1.000000e+01, 1.620658e-02
2.000000e+01, 6.557188e-02
3.000000e+01, 1.469884e-01
4.000000e+01, 2.616836e-01
5.000000e+01, 4.153725e-01
6.000000e+01, 5.960456e-01
7.000000e+01, 7.772495e-01
8.000000e+01, 9.204579e-01
9.000000e+01, 9.765196e-01
10.000000e+01, 9.204579e-01
11.000000e+01, 7.772495e-01
12.000000e+01, 5.960456e-01
13.000000e+01, 4.153725e-01
14.000000e+01, 2.616836e-01
15.000000e+01, 1.469884e-01
16.000000e+01, 6.557188e-02
17.000000e+01, 1.620658e-02
18.000000e+01, 0.000010e+00
