# -
0.000000e+00, 1.000000e+00
5.555556e-02, 9.906116e-01
1.111111e-01, 9.772637e-01
1.666667e-01, 9.633329e-01
2.222222e-01, 9.469246e-01
2.777778e-01, 9.301797e-01
3.333333e-01, 9.126910e-01
3.888889e-01, 8.938440e-01
4.444444e-01, 8.732083e-01
5.000000e-01, 8.518180e-01
5.555556e-01, 8.273997e-01
6.111111e-01, 8.000507e-01
6.666667e-01, 7.690980e-01
7.222222e-01, 7.335296e-01
7.777778e-01, 6.950759e-01
8.333333e-01, 6.455560e-01
8.888889e-01, 5.872632e-01
9.444444e-01, 5.038479e-01
1.000000e+00, 3.276200e-01
